worldcup_name,historical_name,elo_name,transfermarkt_name,team_id,transfermarkt_id
Mexico,Mexico,Mexico,Mexico,1,6303
South Africa,South Africa,South Africa,South Africa,2,3806
South Korea,Korea Republic,South Korea,South Korea,3,3589
Czechia,Czechia,Czech Republic,Czech Republic,4,3445
Canada,Canada,Canada,Canada,5,3510
Bosnia and Herzegovina,Bosnia–Herz,Bosnia and Herzegovina,Bosnia-Herzegovina,6,3446
Qatar,Qatar,Qatar,Qatar,7,1230
Switzerland,Switzerland,Switzerland,Switzerland,8,3384
Brazil,Brazil,Brazil,Brazil,9,3439
Morocco,Morocco,Morocco,Morocco,10,3575
Haiti,Haiti,Haiti,Haiti,11,14161
Scotland,Scotland,Scotland,Scotland,12,3380
USA,United States,United States,United States,13,3505
Paraguay,Paraguay,Paraguay,Paraguay,14,3581
Australia,Australia,Australia,Australia,15,3433
Türkiye,Türkiye,Turkey,Turkey,16,3381
Germany,Germany,Germany,Germany,17,3262
Curaçao,Curaçao,Curaçao,Curacao,18,32364
Côte d'Ivoire,Côte d'Ivoire,Ivory Coast,Ivory Coast,19,3591
Ecuador,Ecuador,Ecuador,Ecuador,20,5750
Netherlands,Netherlands,Netherlands,Netherlands,21,3379
Japan,Japan,Japan,Japan,22,3435
Sweden,Sweden,Sweden,,23,
Tunisia,Tunisia,Tunisia,Tunisia,24,3670
Belgium,Belgium,Belgium,Belgium,25,3382
Egypt,Egypt,Egypt,Egypt,26,3672
IR Iran,IR Iran,Iran,Iran,27,3582
New Zealand,New Zealand,New Zealand,New Zealand,28,9171
Spain,Spain,Spain,Spain,29,3375
Cabo Verde,Cabo Verde,Cape Verde,Cape Verde,30,4311
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,31,3807
Uruguay,Uruguay,Uruguay,Uruguay,32,3449
France,France,France,France,33,3377
Senegal,Senegal,Senegal,Senegal,34,3499
Iraq,Iraq,Iraq,,35,
Norway,Norway,Norway,Norway,36,3440
Argentina,Argentina,Argentina,Argentina,37,3437
Algeria,Algeria,Algeria,Algeria,38,3614
Austria,Austria,Austria,Austria,39,3383
Jordan,Jordan,Jordan,Jordan,40,15737
Portugal,Portugal,Portugal,Portugal,41,3300
Congo DR,Congo DR,DR Congo,Democratic Republic of the Congo,42,3854
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,43,3563
Colombia,Colombia,Colombia,Colombia,44,3816
England,England,England,England,45,3299
Croatia,Croatia,Croatia,Croatia,46,3556
Ghana,Ghana,Ghana,Ghana,47,3441
Panama,Panama,Panama,Panama,48,3577
